crop_category,crop_name,variety_name,suitable_regions,soil_type,base_yield_per_acre_kg,avg_duration_days,disease_resistance,special_features,data_source
ধান,বোরো ধান,ব্রি ধান ২৮,হাওর বাদে দেশের সব অঞ্চল,উঁচু ও মাঝারি জমি,2400,140,মাঝারি ব্লাস্ট প্রতিরোধক,আগাম জাত,BRRI
ধান,বোরো ধান,ব্রি ধান ২৯,দেশের সব অঞ্চল,উঁচু ও মাঝারি জমি,3000,160,রোগ বালাই প্রতিরোধী,উচ্চ ফলনশীল,BRRI
ধান,বোরো ধান,ব্রি ধান ৮৯,দেশের সব অঞ্চল,উঁচু ও মাঝারি জমি,3200,158,রোগ বালাই প্রতিরোধী,উচ্চ ফলনশীল,BRRI
ধান,বোরো ধান,ব্রি ধান ৯২,দেশের সব অঞ্চল,উঁচু ও মাঝারি জমি,3300,156,রোগ বালাই প্রতিরোধী,খরা সহনশীল,BRRI
ধান,আমন ধান,ব্রি ধান ৮৭,রংপুর ও রাজশাহী অঞ্চল,মাঝারি নিচু জমি,2600,127,রোগ বালাই প্রতিরোধী,আগাম জাত,BRRI
ধান,আউশ ধান,ব্রি ধান ৪৮,দেশের সব অঞ্চল,উঁচু জমি,2200,110,রোগ বালাই প্রতিরোধী,উচ্চ ফলনশীল,BRRI
সবজি,টমেটো,বারি টমেটো-১ (মানিক),সব অঞ্চল,দোআঁশ,12000,110,উইল্ট প্রতিরোধক,শীতকালীন উচ্চ ফলনশীল,BARI
সবজি,টমেটো,বারি টমেটো-২ (রতন),সব অঞ্চল,বেলে দোআঁশ,13000,115,রোগ বালাই প্রতিরোধী,শীতকালীন,BARI
সবজি,বেগুন,বারি বেগুন-৪ (কাজলা),সব অঞ্চল,বেলে দোআঁশ,11000,150,ঢলে পড়া রোগ প্রতিরোধী,শীতকালীন,BARI
সবজি,বেগুন,বারি বিটি বেগুন-২,সব অঞ্চল,দোআঁশ,13000,160,ডগা ও ফল ছিদ্রকারী পোকা প্রতিরোধী,বিটি জাত,BARI
সবজি,ফুলকপি,বারি ফুলকপি-১ (রূপা),সব অঞ্চল,দোআঁশ-এটেল,8000,95,রোগ বালাই প্রতিরোধী,শীতকালীন,BARI
সবজি,বাঁধাকপি,বারি বাঁধাকপি-১ (প্রভাতি),সব অঞ্চল,দোআঁশ-এটেল,10000,90,রোগ বালাই প্রতিরোধী,আগাম জাত,BARI
সবজি,শিম,বারি শিম-৬,সব অঞ্চল,দোআঁশ,6000,140,ভাইরাস প্রতিরোধী,শীতকালীন,BARI
আঁশ,পাট,বিজেআরআই তোষা পাট-৮,দেশের বেশিরভাগ অঞ্চল,দোআঁশ,1500,115,কান্ড পচা রোগ প্রতিরোধী,উচ্চ ফলনশীল,BJRI
আঁশ,পাট,বিজেআরআই দেশি পাট-৬,দেশের বেশিরভাগ অঞ্চল,দোআঁশ,1200,110,রোগ বালাই প্রতিরোধী,সাদা পাট,BJRI
কন্দাল,আলু,বারি আলু-৭ (ডায়মন্ট),দেশের সব অঞ্চল,বেলে দোআঁশ,11000,95,লেট ব্লাইট প্রতিরোধী,রপ্তানিযোগ্য,BARI
কন্দাল,আলু,বারি আলু-৮ (কার্ডিনাল),সব অঞ্চল,বেলে দোআঁশ,10500,90,রোগ বালাই প্রতিরোধী,লাল চামড়া,BARI
ডাল,মসুর,বারি মসুর-৮,সব অঞ্চল,দোআঁশ,800,110,রাস্ট রোগ প্রতিরোধী,উচ্চ ফলনশীল,BARI
ডাল,মুগ,বারি মুগ-৬,সব অঞ্চল,বেলে দোআঁশ,600,60,হলদে মোজাইক ভাইরাস প্রতিরোধী,গ্রীষ্মকালীন,BARI
তেল,সরিষা,বারি সরিষা-১৪,সব অঞ্চল,দোআঁশ,600,80,অল্টারনারিয়া ব্লাইট প্রতিরোধী,আগাম জাত,BARI
তেল,সরিষা,বারি সরিষা-১৭,সব অঞ্চল,দোআঁশ,650,85,রোগ বালাই প্রতিরোধী,উচ্চ ফলনশীল,BARI
গম,গম,বারি গম-৩৩,উত্তরাঞ্চল,দোআঁশ,1800,110,ব্লাস্ট রোগ প্রতিরোধী,জিংক সমৃদ্ধ,BARI
ভুট্টা,ভুট্টা,বারি হাইব্রিড ভুট্টা-৯,সব অঞ্চল,বেলে দোআঁশ,4000,140,রোগ বালাই প্রতিরোধী,রবি মৌসুম,BARI
পেঁয়াজ,পেঁয়াজ,বারি পেঁয়াজ-১,সব অঞ্চল,বেলে দোআঁশ,5000,120,রোগ বালাই প্রতিরোধী,শীতকালীন,BARI
ফল,তরমুজ,পদ্মা,দক্ষিণাঞ্চল,বেলে দোআঁশ,15000,90,রোগ বালাই প্রতিরোধী,গ্রীষ্মকালীন,BADC
